Format Version,1.25,Take Name,Take 2025-04-28 04.26.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.26.56.086 PM,Capture Start Frame,288444,Total Frames in Take,1575,Total Exported Frames,1575,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
130,1.083333,-29.627623,8.985323,-13.076998,-15.286120,-10.165621,450.131866
131,1.091667,-29.785669,9.029745,-13.072889,-15.012012,-11.005900,449.521912
132,1.100000,-29.915928,9.060062,-13.085711,-14.711623,-11.826790,448.918549
133,1.108333,-30.010523,9.088518,-13.110723,-14.412428,-12.589581,448.305786
134,1.116667,-30.121479,9.120908,-13.139821,-14.091515,-13.361236,447.660889
135,1.125000,-30.177227,9.136675,-13.169271,-13.771344,-14.105918,447.048157
136,1.133333,-30.250589,9.167650,-13.196793,-13.456658,-14.821744,446.428589
137,1.141667,-30.314531,9.177270,-13.233783,-13.133072,-15.534193,445.804779
138,1.150000,-30.361259,9.212885,-13.272557,-12.813988,-16.231163,445.181488
139,1.158333,-30.411736,9.222143,-13.315452,-12.494415,-16.893337,444.576904
140,1.166667,-30.473377,9.265804,-13.358987,-12.154933,-17.568670,443.974274
141,1.175000,-30.525980,9.287956,-13.405602,-11.824746,-18.221905,443.396912
142,1.183333,-30.584925,9.299092,-13.453294,-11.505559,-18.870552,442.835175
143,1.191667,-30.661112,9.322289,-13.483506,-11.188537,-19.550970,442.271729
144,1.200000,-30.721254,9.336303,-13.498190,-10.892415,-20.203732,441.708282
145,1.208333,-30.772867,9.360511,-13.504877,-10.604885,-20.873055,441.154083
146,1.216667,-30.837168,9.387265,-13.508124,-10.315845,-21.558695,440.573242
147,1.225000,-30.888721,9.396705,-13.520863,-10.046041,-22.215696,440.016846
148,1.233333,-30.949646,9.422177,-13.526916,-9.790191,-22.891924,439.467194
149,1.241667,-31.007444,9.454058,-13.540574,-9.557323,-23.581303,438.908600
150,1.250000,-31.047394,9.482302,-13.571840,-9.360674,-24.264463,438.383179
151,1.258333,-31.118803,9.534561,-13.608850,-9.193765,-24.935625,437.880066
152,1.266667,-31.177679,9.586265,-13.643486,-9.045745,-25.623331,437.362305
153,1.275000,-31.235569,9.631190,-13.679434,-8.913981,-26.311068,436.874542
154,1.283333,-31.321638,9.685546,-13.702587,-8.788844,-27.000254,436.358490
155,1.291667,-31.380102,9.726024,-13.732373,-8.682808,-27.687235,435.867371
156,1.300000,-31.436287,9.769462,-13.759657,-8.578547,-28.334887,435.358704
157,1.308333,-31.510422,9.814605,-13.780736,-8.476234,-29.002985,434.862732
158,1.316667,-31.564388,9.844607,-13.793640,-8.380569,-29.642532,434.404510
159,1.325000,-31.648729,9.870534,-13.811221,-8.280346,-30.297554,433.911011
160,1.333333,-31.715403,9.877269,-13.834370,-8.194753,-30.907803,433.436737
161,1.341667,-31.774084,9.857724,-13.866673,-8.114991,-31.501020,432.982452
162,1.350000,-31.862518,9.770049,-13.962652,-8.037497,-32.055855,432.500916
163,1.358333,-31.894838,9.651942,-14.128627,-7.966681,-32.544811,432.077942
164,1.366667,-31.960583,9.514635,-14.425062,-7.873506,-32.994518,431.601440
165,1.375000,-32.008484,9.306517,-14.845524,-7.758668,-33.369942,431.096252
166,1.383333,-32.031467,9.055650,-15.293599,-7.640897,-33.671551,430.584839
167,1.391667,-32.026714,8.759115,-15.739258,-7.526463,-33.910042,430.036865
168,1.400000,-31.996134,8.461153,-16.144703,-7.435503,-34.067383,429.491577
169,1.408333,-31.930988,8.143339,-16.517494,-7.388990,-34.147942,428.916229
170,1.416667,-31.854992,7.881136,-16.854683,-7.390199,-34.161934,428.326385
171,1.425000,-31.684387,7.647633,-17.174971,-7.467952,-34.072712,427.678864
