Format Version,1.25,Take Name,Take 2025-04-29 12.39.36 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-29 12.39.37.060 PM,Capture Start Frame,35987,Total Frames in Take,5690,Total Exported Frames,5690,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
88,0.733333,-98.865471,2.269577,-20.184958,2.259100,-72.871323,443.593231
89,0.741667,-98.933311,2.354833,-20.202610,2.484867,-72.928009,443.446777
90,0.750000,-99.016800,2.416682,-20.194670,2.677217,-72.985062,443.265167
91,0.758333,-99.084137,2.491186,-20.227095,2.835928,-73.042847,443.114929
92,0.766667,-99.144112,2.531535,-20.235292,2.929404,-73.084846,442.993805
93,0.775000,-99.194611,2.543719,-20.238203,2.963068,-73.121513,442.899689
94,0.783333,-99.223640,2.544847,-20.247204,2.964250,-73.143730,442.812286
95,0.791667,-99.250656,2.529792,-20.253689,2.938928,-73.165131,442.749847
96,0.800000,-99.258347,2.514924,-20.261057,2.899805,-73.170830,442.699982
97,0.808333,-99.285744,2.501364,-20.263447,2.860463,-73.180679,442.668396
98,0.816667,-99.292412,2.498511,-20.270981,2.822902,-73.184532,442.669525
99,0.825000,-99.300224,2.492755,-20.278482,2.754411,-73.182732,442.704315
100,0.833333,-99.284828,2.454932,-20.261736,2.633351,-73.163284,442.714752
101,0.841667,-99.252785,2.387083,-20.259493,2.417249,-73.142258,442.784668
102,0.850000,-99.195099,2.281574,-20.226973,2.129534,-73.097816,442.873657
103,0.858333,-99.148232,2.135138,-20.181566,1.762972,-73.047981,442.996704
104,0.866667,-99.070770,1.972419,-20.141870,1.331418,-72.986366,443.170532
105,0.875000,-98.952599,1.777599,-20.104555,0.844632,-72.907776,443.399689
106,0.883333,-98.888397,1.603702,-20.094481,0.392873,-72.844803,443.614655
107,0.891667,-98.768135,1.419700,-20.080416,-0.033466,-72.766914,443.790070
108,0.900000,-98.744751,1.267552,-20.083191,-0.401053,-72.725563,443.947540
109,0.908333,-98.676651,1.115025,-20.083778,-0.731322,-72.685257,444.055084
110,0.916667,-98.614563,1.012508,-20.123806,-0.988985,-72.667046,444.147247
111,0.925000,-98.619766,0.925153,-20.150164,-1.182445,-72.662788,444.160217
112,0.933333,-98.621979,0.866649,-20.171240,-1.294840,-72.663902,444.127167
113,0.941667,-98.643669,0.847830,-20.202566,-1.326548,-72.672646,444.084320
114,0.950000,-98.653580,0.860192,-20.230713,-1.270984,-72.686295,444.040009
115,0.958333,-98.665710,0.915255,-20.245476,-1.121655,-72.702805,443.959290
116,0.966667,-98.689857,0.983493,-20.261797,-0.934403,-72.731216,443.872467
117,0.975000,-98.772896,1.064640,-20.245693,-0.693999,-72.775848,443.735779
118,0.983333,-98.841370,1.161417,-20.250689,-0.445276,-72.827141,443.553162
119,0.991667,-98.927017,1.263865,-20.239717,-0.182492,-72.892906,443.374725
120,1.000000,-99.006035,1.363242,-20.224365,0.058853,-72.947021,443.203430
121,1.008333,-99.058434,1.434749,-20.211317,0.251068,-72.986351,443.081635
