Format Version,1.25,Take Name,Take 2025-04-28 04.18.35 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-04-28 04.18.36.065 PM,Capture Start Frame,228436,Total Frames in Take,2247,Total Exported Frames,2247,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key,key,key,key,key,key
,ID,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6,DDBA107A247B11F0B926ABA502A085B6
,Parent,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
136,1.133333,137.742752,-6.078595,168.477661,-2.454882,9.656410,443.145996
137,1.141667,137.627609,-6.156534,168.519745,-2.699573,8.602968,443.250549
138,1.150000,137.516022,-6.214777,168.569748,-2.939299,7.526988,443.344391
139,1.158333,137.481293,-6.277007,168.626450,-3.186021,6.436430,443.452423
140,1.166667,137.388199,-6.326147,168.675171,-3.439940,5.331918,443.533386
141,1.175000,137.330215,-6.375015,168.736755,-3.702834,4.205177,443.607300
142,1.183333,137.252808,-6.430469,168.784561,-3.996230,3.052178,443.690094
143,1.191667,137.128372,-6.516456,168.821609,-4.313321,1.896806,443.761780
144,1.200000,137.020981,-6.619626,168.840744,-4.644561,0.762142,443.817383
145,1.208333,136.885468,-6.739243,168.866257,-4.975845,-0.338714,443.844482
146,1.216667,136.794815,-6.858862,168.885880,-5.310700,-1.357097,443.886566
147,1.225000,136.708633,-6.955932,168.921463,-5.618769,-2.272137,443.919891
148,1.233333,136.650421,-7.034015,168.974197,-5.893844,-3.094257,443.869720
149,1.241667,136.630630,-7.086541,169.019165,-6.126971,-3.770781,443.818451
150,1.250000,136.646194,-7.133020,169.052185,-6.324035,-4.310966,443.735107
151,1.258333,136.682358,-7.130492,169.094101,-6.492294,-4.715965,443.581451
152,1.266667,136.726547,-7.146745,169.110123,-6.643324,-4.997558,443.403107
153,1.275000,136.815704,-7.155026,169.129639,-6.788804,-5.173934,443.209045
154,1.283333,136.896545,-7.162671,169.166168,-6.949683,-5.266273,443.020630
155,1.291667,136.957108,-7.208803,169.200867,-7.126518,-5.297057,442.825897
156,1.300000,136.994766,-7.263963,169.263901,-7.327121,-5.266804,442.625427
157,1.308333,136.999252,-7.309060,169.336624,-7.534748,-5.205625,442.439392
158,1.316667,136.999084,-7.379820,169.365372,-7.757431,-5.109531,442.275574
159,1.325000,136.976013,-7.445118,169.361435,-7.969994,-4.993114,442.114288
160,1.333333,136.907364,-7.481689,169.325607,-8.171097,-4.827291,441.931000
161,1.341667,136.848450,-7.502656,169.271484,-8.356292,-4.626086,441.765533
162,1.350000,136.797546,-7.513096,169.195602,-8.530735,-4.390040,441.576630
163,1.358333,136.737656,-7.507901,169.100937,-8.686020,-4.122391,441.393982
164,1.366667,136.703979,-7.488379,169.002289,-8.816247,-3.812862,441.198059
165,1.375000,136.691910,-7.459160,168.933563,-8.919992,-3.468241,440.992950
166,1.383333,136.690491,-7.430816,168.879028,-8.996234,-3.105104,440.776642
167,1.391667,136.669052,-7.397382,168.840698,-9.034424,-2.707844,440.560974
168,1.400000,136.643539,-7.372636,168.805710,-9.062726,-2.325214,440.373108
169,1.408333,136.589630,-7.337654,168.755386,-9.076020,-1.939540,440.199402
170,1.416667,136.530731,-7.317176,168.685471,-9.084674,-1.575904,440.076538
171,1.425000,136.442398,-7.278703,168.604233,-9.078043,-1.226478,439.950073
172,1.433333,136.344025,-7.236929,168.526199,-9.064203,-0.895260,439.843811
173,1.441667,136.225830,-7.204202,168.432098,-9.048965,-0.561020,439.738464
174,1.450000,136.153244,-7.163011,168.339218,-9.029493,-0.215479,439.621918
175,1.458333,136.093414,-7.139552,168.245255,-8.997929,0.143249,439.475220
176,1.466667,136.055023,-7.106863,168.160751,-8.958961,0.525887,439.306427
177,1.475000,136.029984,-7.086640,168.088257,-8.915104,0.905621,439.114502
178,1.483333,136.021042,-7.070810,168.026169,-8.878633,1.278950,438.896362
179,1.491667,136.044846,-7.074355,167.978882,-8.852796,1.630639,438.649567
180,1.500000,136.074646,-7.098229,167.935715,-8.832656,1.958880,438.402466
181,1.508333,136.124985,-7.138543,167.923492,-8.815382,2.245698,438.157623
182,1.516667,136.179520,-7.203555,167.957245,-8.786548,2.469875,437.890717
183,1.525000,136.221130,-7.268916,168.001236,-8.740202,2.661401,437.630432
184,1.533333,136.249420,-7.325318,168.049789,-8.671046,2.798590,437.366821
185,1.541667,136.280258,-7.383446,168.072571,-8.587263,2.876352,437.116180
186,1.550000,136.291336,-7.427580,168.075989,-8.474771,2.886712,436.845581
187,1.558333,136.293686,-7.454333,168.063232,-8.343446,2.817551,436.580078
188,1.566667,136.282791,-7.496644,168.019318,-8.196808,2.673651,436.306427
189,1.575000,136.277832,-7.514870,167.987595,-8.029884,2.445736,436.005219
190,1.583333,136.277725,-7.540266,167.956390,-7.852542,2.150181,435.719879
191,1.591667,136.252609,-7.577889,167.933212,-7.658684,1.793511,435.431427
192,1.600000,136.226013,-7.606276,167.930481,-7.432095,1.328590,435.159973
193,1.608333,136.192352,-7.646826,167.926331,-7.201263,0.846107,434.918335
194,1.616667,136.129944,-7.691807,167.908600,-6.943773,0.300917,434.680054
195,1.625000,136.045380,-7.718393,167.906906,-6.664148,-0.332577,434.490387
196,1.633333,135.943802,-7.735694,167.912827,-6.367634,-0.995432,434.339813
197,1.641667,135.828949,-7.769619,167.902847,-6.056520,-1.707429,434.237946
198,1.650000,135.687286,-7.753414,167.896912,-5.728003,-2.435144,434.168640
199,1.658333,135.540009,-7.762141,167.867035,-5.378438,-3.200323,434.094635
200,1.666667,135.376633,-7.731556,167.844849,-5.003536,-3.989835,434.025787
201,1.675000,135.205719,-7.732597,167.801544,-4.619639,-4.778797,433.972076
202,1.683333,135.029816,-7.728246,167.763382,-4.206382,-5.568688,433.906647
203,1.691667,134.889893,-7.731250,167.716095,-3.778847,-6.355807,433.844818
204,1.700000,134.745773,-7.729104,167.694214,-3.329004,-7.110508,433.754364
205,1.708333,134.635086,-7.695352,167.703247,-2.856679,-7.827574,433.672943
206,1.716667,134.539978,-7.694500,167.710709,-2.340831,-8.537766,433.614288
207,1.725000,134.445816,-7.665969,167.744598,-1.799480,-9.214793,433.551147
208,1.733333,134.339157,-7.654971,167.767212,-1.244929,-9.862779,433.506989
209,1.741667,134.189606,-7.643583,167.777267,-0.645936,-10.519122,433.473267
210,1.750000,134.043823,-7.628294,167.770264,-0.053039,-11.148494,433.445892
211,1.758333,133.884506,-7.584955,167.763550,0.547596,-11.766238,433.458496
212,1.766667,133.714890,-7.556811,167.739746,1.138910,-12.362448,433.494873
213,1.775000,133.516556,-7.506856,167.713593,1.764475,-12.957415,433.545044
214,1.783333,133.359131,-7.449275,167.692352,2.368237,-13.507221,433.590881
215,1.791667,133.232117,-7.391910,167.652130,3.008144,-14.037263,433.632812
216,1.800000,133.069550,-7.352494,167.613342,3.643812,-14.528422,433.648438
217,1.808333,132.912460,-7.304967,167.581161,4.269123,-14.979342,433.660187
218,1.816667,132.785522,-7.269120,167.553986,4.905265,-15.391736,433.631256
219,1.825000,132.687592,-7.237064,167.532669,5.547081,-15.754916,433.588623
220,1.833333,132.620651,-7.224450,167.511337,6.167310,-16.089970,433.531097
221,1.841667,132.571671,-7.180141,167.520950,6.776751,-16.382982,433.462036
222,1.850000,132.550797,-7.158285,167.532288,7.404864,-16.642689,433.413574
223,1.858333,132.500031,-7.151852,167.546448,8.011778,-16.879698,433.366394
224,1.866667,132.462158,-7.140635,167.562531,8.630834,-17.097769,433.328918
225,1.875000,132.402756,-7.140860,167.566559,9.231886,-17.290646,433.305145
226,1.883333,132.364273,-7.128916,167.568909,9.826763,-17.462107,433.297546
227,1.891667,132.364059,-7.139662,167.568085,10.416531,-17.618084,433.287720
228,1.900000,132.353897,-7.131233,167.597321,11.003795,-17.761816,433.256165
229,1.908333,132.349930,-7.130418,167.634888,11.571122,-17.906025,433.229553
230,1.916667,132.365570,-7.143093,167.673538,12.152322,-18.045027,433.194885
231,1.925000,132.396881,-7.146372,167.723434,12.697503,-18.184992,433.129883
232,1.933333,132.420685,-7.166565,167.766830,13.245563,-18.346661,433.091003
233,1.941667,132.392822,-7.181124,167.803574,13.770690,-18.519299,433.073181
234,1.950000,132.432495,-7.192749,167.834503,14.265368,-18.700792,433.059753
235,1.958333,132.435410,-7.210351,167.859680,14.759875,-18.914108,433.083191
236,1.966667,132.395111,-7.235324,167.865845,15.221475,-19.155357,433.110352
237,1.975000,132.375473,-7.245329,167.874802,15.658507,-19.432714,433.196411
238,1.983333,132.275589,-7.280456,167.854111,16.083796,-19.753422,433.280823
239,1.991667,132.149323,-7.274769,167.832764,16.499441,-20.097376,433.389343
240,2.000000,132.038391,-7.283097,167.775452,16.890570,-20.451385,433.520691
241,2.008333,131.939880,-7.262696,167.728180,17.282759,-20.800737,433.622131
242,2.016667,131.827835,-7.264307,167.636459,17.692675,-21.149918,433.698669
243,2.025000,131.750839,-7.231063,167.584244,18.088650,-21.469959,433.793243
244,2.033333,131.656067,-7.226927,167.522949,18.487806,-21.785587,433.857941
245,2.041667,131.579987,-7.178959,167.481186,18.899269,-22.075413,433.940674
246,2.050000,131.512909,-7.158013,167.410660,19.332281,-22.344246,433.952789
247,2.058333,131.447510,-7.124338,167.357697,19.745787,-22.614534,434.008606
248,2.066667,131.401184,-7.117673,167.290955,20.168724,-22.888577,434.045105
249,2.075000,131.353668,-7.090459,167.246719,20.580877,-23.128761,434.106323
250,2.083333,131.297729,-7.090029,167.216370,21.011812,-23.350357,434.151215
251,2.091667,131.231766,-7.099999,167.210861,21.465050,-23.567333,434.177216
252,2.100000,131.206070,-7.108357,167.206406,21.912975,-23.790998,434.218018
253,2.108333,131.164291,-7.123515,167.189957,22.365641,-24.024691,434.254578
254,2.116667,131.149979,-7.136594,167.168915,22.798975,-24.294104,434.290253
255,2.125000,131.091309,-7.131903,167.165192,23.211060,-24.597387,434.325287
256,2.133333,131.037903,-7.152316,167.152298,23.600653,-24.940456,434.337860
257,2.141667,130.988037,-7.183487,167.149139,23.988092,-25.333391,434.387329
258,2.150000,130.944382,-7.240350,167.109207,24.400120,-25.737516,434.393890
259,2.158333,130.914032,-7.294622,167.077591,24.812052,-26.165585,434.405609
260,2.166667,130.847061,-7.314885,167.035217,25.217499,-26.613899,434.413971
261,2.175000,130.846970,-7.336900,167.004776,25.606083,-27.087854,434.411987
262,2.183333,130.817764,-7.350503,166.991562,26.018051,-27.616825,434.406067
263,2.191667,130.792557,-7.381084,166.981201,26.439165,-28.202946,434.370209
264,2.200000,130.791901,-7.402749,166.992203,26.832743,-28.816050,434.388824
265,2.208333,130.745193,-7.442500,166.977448,27.222324,-29.501202,434.352844
266,2.216667,130.667267,-7.458603,166.964737,27.603180,-30.253902,434.354706
267,2.225000,130.578323,-7.476828,166.941055,27.945360,-31.018087,434.339996
268,2.233333,130.492523,-7.517963,166.893463,28.244373,-31.788231,434.340790
269,2.241667,130.371094,-7.569179,166.862732,28.532219,-32.616112,434.318481
270,2.250000,130.272598,-7.601761,166.868973,28.796322,-33.417469,434.315277
271,2.258333,130.192215,-7.660490,166.881546,29.048996,-34.224426,434.274933
