Rotation X,Rotation Y,Rotation Z,Position X,Position Y,Position Z
0.122474702,0.010012074,0.013382001,-0.281231175,-0.010159475,-0.038406702
0.104959209,0.021224071,-0.020136968,-0.250242971,0.019733677,-0.034297033
0.110745001,0.060694646,0.001585548,-0.22336199,0.043637727,-0.024404154
0.078272643,0.068120456,0.019632593,-0.182724575,0.07735213,-0.016940554
0.064520779,0.045941348,0.026394336,-0.161947376,0.092046426,-0.019822793
0.038850648,0.066193927,0.078082619,-0.160339065,0.100152644,-0.00371325
0.025911192,0.039303882,0.081593207,-0.106756085,0.110512486,-0.016835585
0.000881292,0.062882757,0.113934609,-0.070179654,0.098834094,0.001976582
-0.037790846,0.019310356,0.079483231,-0.028584157,0.08939604,-0.01217893
-0.057103081,-0.001091735,0.055225089,-0.000804934,0.065210929,-0.004771472
-0.054314256,-0.01611338,0.029541614,0.027054384,0.049797282,-0.014954883
-0.043014118,-0.036247651,0.00903146,0.034476748,0.039693782,-0.02994413
-0.021489083,-0.019736491,0.015663862,0.02573212,0.02161988,-0.035806691
-0.030131852,-0.015324578,0.026544586,0.015711076,0.030462491,-0.050988109
-0.035648849,-0.008493077,0.042255499,-0.005754164,0.047176513,-0.061673132
-0.023911334,-0.026930165,0.027451638,-0.014437555,0.090284556,-0.095458704
-0.016803688,0.029782843,0.065532299,-0.052916365,0.10980842,-0.07370339
-0.00184356,0.064118375,0.056698458,-0.06760377,0.137715185,-0.062999229
0.030277824,0.068515377,0.024440461,-0.079616828,0.155922833,-0.070642891
0.064936627,0.154721237,0.042412592,-0.095990918,0.153376337,-0.061243644
0.049889551,0.084056726,-0.029511626,-0.07619406,0.146160479,-0.103144802
0.065178675,0.102226941,-0.021704976,-0.075069697,0.137565909,-0.129289571
0.035398436,0.097050982,-0.022411206,-0.061445458,0.131046063,-0.153551394
0.026341767,0.117516229,-0.010682129,-0.044474488,0.141226006,-0.187172957
-0.018936265,0.07600877,-0.049307163,-0.025478326,0.147991241,-0.23985183
-0.02717586,0.106887389,-0.032839118,-0.025842398,0.128562734,-0.244977239
-0.060488209,0.059926988,-0.062652833,-0.028693443,0.1136128,-0.27231878
-0.047476946,0.103051778,-0.016560873,-0.031709379,0.093172385,-0.274359309
-0.031820278,0.053711694,-0.031459312,-0.044741983,0.07702248,-0.291666705
-0.045651431,0.025606993,-0.013892735,-0.048441567,0.048734896,-0.309810686
-0.035528526,0.013647218,0.012379006,-0.052519172,0.021393566,-0.294092377
-0.058442319,-0.056382005,0.032763587,-0.075787254,-0.008407328,-0.303250368
-0.023884787,-0.086877712,0.041580554,-0.101177698,-0.04484434,-0.290940316
-0.000592676,-0.102008384,0.029804741,-0.094851455,-0.060261422,-0.284324724
0.019127858,-0.07548294,0.028696567,-0.093808874,-0.063703863,-0.269266941
0.032906675,-0.07934005,-0.014909156,-0.067833069,-0.040606338,-0.267017222
0.021684034,-0.052550806,-0.032943448,-0.039865633,-0.024138634,-0.250646959
0.020387688,-0.044595895,-0.059572018,0.023628311,0.020226859,-0.275790377
-0.00440474,0.010310249,-0.042414383,0.055302494,0.042867216,-0.255086756
-0.025586773,0.027042633,-0.055501151,0.0914788,0.080370708,-0.251548757
-0.016609337,0.06655214,-0.04793939,0.1292896,0.126275447,-0.242915467
-0.039916309,0.072197115,-0.046857531,0.187365074,0.175383901,-0.260155272
-0.088107891,0.038710101,-0.050070174,0.209660189,0.196500992,-0.260330016
-0.068924561,0.042987931,-0.023657458,0.216163817,0.194615543,-0.24112935
-0.09492519,0.033150901,-0.024082342,0.239108565,0.217033941,-0.244367203
-0.089456408,0.047723217,-0.036896367,0.235308008,0.235088205,-0.238042401
-0.078726155,0.045470162,-0.054917769,0.226773254,0.257630438,-0.245262339
-0.027627179,0.058526808,-0.054530913,0.196465051,0.259556829,-0.213064016
-0.044590298,0.066407574,-0.013025984,0.167816001,0.27558124,-0.205517314
-0.048081364,0.041621633,0.007950286,0.125442815,0.278728251,-0.187919292
-0.016575407,-0.000872594,-0.001623691,0.084164544,0.296608665,-0.188744008
-0.002140545,0.021138597,0.064306032,0.019156638,0.28009698,-0.141583592
0.015940499,0.007926424,0.071153566,-0.009315624,0.300417683,-0.139624631
0.027866282,0.015128857,0.095570989,-0.046380479,0.312178628,-0.122695314
0.055620471,0.00604766,0.060666288,-0.082751458,0.311141142,-0.071503944
0.046403274,0.019404694,0.060428201,-0.06926394,0.34605746,-0.086453209
0.057288023,0.064647662,0.045114581,-0.068365384,0.346094165,-0.056145714
0.099883303,0.077226108,0.032334576,-0.070692135,0.334927598,-0.033926905
0.073634856,0.089294534,0.004925467,-0.070702701,0.320063957,-0.004220962
0.064508091,0.110580984,-0.023669609,-0.004075404,0.295070144,-0.035933467
0.08754649,0.112869999,-0.082106986,0.021897931,0.251920834,-0.027240847
0.050801445,0.088940253,-0.148617362,0.057208287,0.238005755,-0.05645941
0.007342193,0.144174174,-0.105047372,0.058005999,0.173727235,-0.047379986
0.025344853,0.095693472,-0.140595869,0.083066732,0.136690963,-0.069107295
-0.002016997,0.082639807,-0.095419203,0.083986364,0.109476147,-0.099314123
0.002955707,0.072369149,-0.07922691,0.094037665,0.065760332,-0.092982937
-0.00331895,0.03194539,-0.057122652,0.110351739,0.042295934,-0.111347255
-0.033331921,0.013611616,-0.009271998,0.124572418,0.009992111,-0.089981325
-0.048316469,-0.008646603,0.032740331,0.160169839,-0.002995298,-0.085325878
-0.048297415,-0.032879838,0.054006855,0.183561195,-0.034139114,-0.066096098
0,0,0.061574828,0.228080366,-0.069155065,-0.054069035
0,-0.070268102,0.060066891,0.305955171,-0.084348367,-0.065442974
