Frame,q0,qx,qy,qz,X,Y,Z,err
3006,0.710,-0.079,-0.033,0.699,28.475,31.808,-139.676,0.063
3030,0.708,-0.065,-0.043,0.702,28.811,27.897,-137.375,0.046
3046,0.699,-0.062,-0.046,0.711,29.638,24.232,-134.726,0.035
3070,0.699,-0.053,-0.053,0.712,30.697,16.748,-131.130,0.039
3094,0.683,-0.059,-0.055,0.726,30.831,7.523,-130.079,0.029
3110,0.669,-0.059,-0.058,0.739,30.993,0.495,-128.885,0.046
3134,0.658,-0.062,-0.057,0.748,31.217,-9.218,-127.097,0.052
3158,0.658,-0.061,-0.051,0.749,31.025,-17.421,-124.802,0.048
3174,0.655,-0.057,-0.051,0.751,31.316,-21.690,-121.755,0.050
3198,0.653,-0.057,-0.049,0.754,31.088,-25.613,-117.619,0.049
3222,0.656,-0.051,-0.049,0.751,30.664,-27.147,-112.704,0.050
3238,0.653,-0.051,-0.050,0.754,30.092,-27.903,-109.657,0.052
3262,0.655,-0.048,-0.048,0.752,28.337,-29.832,-104.790,0.051
