Format Version,1.25,Take Name,Take 2025-06-05 03.55.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-05 03.55.41.085 PM,Capture Start Frame,158944,Total Frames in Take,4364,Total Exported Frames,4364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,key2,key2,key2,key2,key2,key2,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs,SyncLEDs
,ID,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,4ABBF7FD425E11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6,937E192C425F11F0B926ABA502A08FB6
,Parent,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
91,0.758333,8.237357,-14.192061,7.211385,21.190300,-60.897457,393.905579,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
92,0.766667,8.211015,-14.118217,7.186159,21.590982,-60.830513,393.899261,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
93,0.775000,8.414717,-14.111898,7.244524,21.975447,-60.657810,394.130341,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
94,0.783333,8.493382,-14.162430,7.269390,22.372211,-60.530499,394.392212,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
95,0.791667,8.667015,-14.089980,7.274629,22.841633,-60.423054,394.345703,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
96,0.800000,8.498170,-14.185523,7.188303,23.274374,-60.423065,394.579193,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
97,0.808333,8.521590,-14.138460,7.163291,23.750559,-60.363960,394.573853,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
98,0.816667,8.306931,-14.193651,7.051033,24.185778,-60.399025,394.800232,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
99,0.825000,8.137690,-14.260247,6.961092,24.648617,-60.403942,395.015594,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
100,0.833333,7.635074,-14.331156,6.735262,25.114614,-60.598736,395.157227,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
101,0.841667,8.423470,-14.160359,6.878637,25.642056,-60.357346,394.868835,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
102,0.850000,8.584727,-14.074669,6.831079,26.121260,-60.377399,394.624725,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
103,0.858333,7.846812,-14.395086,6.616984,26.481192,-60.596783,395.447388,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
104,0.866667,7.224977,-14.526397,6.400959,26.874178,-60.845730,395.734436,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
105,0.875000,6.890962,-14.557437,6.251214,27.279699,-61.033154,395.833618,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
106,0.883333,6.844022,-14.559192,6.203554,27.672821,-61.113411,395.876373,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
107,0.891667,7.112802,-14.583869,6.237969,28.089647,-61.114948,395.929230,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
108,0.900000,7.425537,-14.561090,6.312286,28.477222,-61.080879,395.880737,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
109,0.908333,7.855755,-14.572258,6.385087,28.880476,-61.072792,395.817444,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
110,0.916667,8.190008,-14.477434,6.438301,29.268841,-61.097214,395.543823,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
111,0.925000,8.481019,-14.404898,6.458788,29.630177,-61.169651,395.195801,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
112,0.933333,8.719085,-14.400320,6.496960,29.913137,-61.255718,394.976257,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
113,0.941667,8.781327,-14.306012,6.526849,30.149435,-61.350147,394.690735,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
114,0.950000,8.870978,-14.308624,6.538568,30.329990,-61.475895,394.574890,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
115,0.958333,8.896983,-14.387156,6.559435,30.498796,-61.612679,394.479095,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
116,0.966667,8.853733,-14.436467,6.575662,30.635382,-61.769444,394.353241,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
117,0.975000,8.783125,-14.508150,6.602633,30.738045,-61.923180,394.277924,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
118,0.983333,8.677570,-14.539573,6.612884,30.816059,-62.093781,394.153320,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
119,0.991667,8.569108,-14.575407,6.640688,30.871538,-62.239338,394.037445,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
120,1.000000,8.495083,-14.633678,6.663389,30.924417,-62.380211,393.908112,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
121,1.008333,8.406292,-14.690163,6.683974,30.980497,-62.513157,393.724091,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
122,1.016667,8.360954,-14.745646,6.698225,31.041445,-62.637753,393.513641,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
123,1.025000,8.310163,-14.768983,6.737316,31.120953,-62.731647,393.210938,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
124,1.033333,8.302395,-14.786584,6.770111,31.186743,-62.808601,392.934296,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
125,1.041667,8.295016,-14.789149,6.800346,31.258371,-62.875381,392.566895,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
126,1.050000,8.320940,-14.815356,6.840811,31.320005,-62.916733,392.247864,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
127,1.058333,8.349344,-14.817382,6.900132,31.370476,-62.936119,391.896759,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
128,1.066667,8.354746,-14.771968,6.951869,31.417526,-62.938473,391.490448,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
129,1.075000,8.393199,-14.739825,6.996260,31.466034,-62.933689,391.107941,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
130,1.083333,8.439672,-14.738897,7.047522,31.516294,-62.912300,390.765381,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
131,1.091667,8.500417,-14.785736,7.090190,31.580170,-62.874348,390.448639,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
132,1.100000,8.517484,-14.790744,7.125543,31.650082,-62.827736,390.107391,6.652962,-3.651493,-8.977588,1.638925,-80.756882,710.263977
